MV540.readRequest,MV540.readDataAvail,MV540.readData,MV540.readError,MV540.readErrorMsg,MV540.readReset,MV540.enableLogic,MV540.readStartTime,RFID.RF615R_1.readRequest,RFID.RF615R_1.readDataAvail,RFID.RF615R_1.readDataLen,RFID.RF615R_1.readData,RFID.RF615R_1.readError,RFID.RF615R_1.readErrorMsg,RFID.RF615R_1.readReset,RFID.RF615R_1.writeRequest,RFID.RF615R_1.writeData,RFID.RF615R_1.writeDone,RFID.RF615R_1.writeError,RFID.RF615R_1.writeErrorMsg,RFID.RF615R_1.writeReset,RFID.RF615R_1.enableLogic,RFID.RF615R_2.readRequest,RFID.RF615R_2.readDataAvail,RFID.RF615R_2.readDataLen,RFID.RF615R_2.readData,RFID.RF615R_2.readError,RFID.RF615R_2.readErrorMsg,RFID.RF615R_2.readReset,RFID.RF615R_2.writeRequest,RFID.RF615R_2.writeData,RFID.RF615R_2.writeDone,RFID.RF615R_2.writeError,RFID.RF615R_2.writeErrorMsg,RFID.RF615R_2.writeReset,RFID.RF615R_2.enableLogic,RFID.readStartTime,ROBOTS.SCOUT_1.name,ROBOTS.SCOUT_1.command,ROBOTS.SCOUT_1.execute,ROBOTS.SCOUT_1.reset,ROBOTS.SCOUT_1.done,ROBOTS.SCOUT_1.error,ROBOTS.SCOUT_1.errorMsg,ROBOTS.SCOUT_1.statusMsg,ROBOTS.SCOUT_1.enableLogic,ROBOTS.SCOUT_2.name,ROBOTS.SCOUT_2.command,ROBOTS.SCOUT_2.execute,ROBOTS.SCOUT_2.reset,ROBOTS.SCOUT_2.done,ROBOTS.SCOUT_2.error,ROBOTS.SCOUT_2.errorMsg,ROBOTS.SCOUT_2.statusMsg,ROBOTS.SCOUT_2.enableLogic,ROBOTS.ROSIE.name,ROBOTS.ROSIE.command,ROBOTS.ROSIE.execute,ROBOTS.ROSIE.reset,ROBOTS.ROSIE.done,ROBOTS.ROSIE.error,ROBOTS.ROSIE.errorMsg,ROBOTS.ROSIE.statusMsg,ROBOTS.ROSIE.enableLogic,ROBOTS.readStartTime,COGNEX.triggerEnable,COGNEX.trigger,COGNEX.triggerAck,COGNEX.acquisitionID,COGNEX.reset,COGNEX.inspectionComplete,COGNEX.inspectionID,COGNEX.inspectionResults,COGNEX.inspectionResultsAccepted,COGNEX.inspectionResultsCode,COGNEX.enableLogic,COGNEX.readStartTime,readStartTime,Proximity_sensors_shipping_area_occupancy_percentage
False,False,,False,,False,True,1754326463882,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326463882,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326463882,False,False,False,0,False,False,0,0,False,0,True,1754326463882,1754326463882,39
False,False,,False,,False,True,1754326464941,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326464941,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326464941,False,False,False,0,False,False,0,0,False,0,True,1754326464941,1754326464941,83
False,False,,False,,False,True,1754326465973,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326465973,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326465973,False,False,False,0,False,False,0,0,False,0,True,1754326465973,1754326465973,40
False,False,,False,,False,True,1754326467015,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326467015,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326467015,False,False,False,0,False,False,0,0,False,0,True,1754326467015,1754326467015,100
False,False,,False,,False,True,1754326468062,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326468062,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326468062,False,False,False,0,False,False,0,0,False,0,True,1754326468062,1754326468062,78
False,False,,False,,False,True,1754326469105,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326469105,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326469105,False,False,False,0,False,False,0,0,False,0,True,1754326469105,1754326469105,83
False,False,,False,,False,True,1754326470158,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326470158,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326470158,False,False,False,0,False,False,0,0,False,0,True,1754326470158,1754326470158,59
False,False,,False,,False,True,1754326471205,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326471205,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326471205,False,False,False,0,False,False,0,0,False,0,True,1754326471205,1754326471205,54
False,False,,False,,False,True,1754326472257,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326472257,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326472257,False,False,False,0,False,False,0,0,False,0,True,1754326472257,1754326472257,45
False,False,,False,,False,True,1754326473304,False,False,255,,False,,False,False,,False,False,,False,False,False,False,255,,False,,False,False,,False,False,,False,True,1754326473304,SCOUT_1,GOTO STATION_A,False,False,False,False,,,False,SCOUT_2,GOTO STATION_B,False,False,False,False,,,False,ROSIE,GOTO STATION_A,False,False,False,False,,,False,1754326473304,False,False,False,0,False,False,0,0,False,0,True,1754326473304,1754326473304,99
